City,Lat,Long
Abohar,30.144533,74.19552
Adilabad,19.4,78.31
Agartala,23.836049,91.279386
Agra,27.187935,78.003944
Ahmadnagar,19.094571,74.738432
Ahmedabad,23.025793,72.587265
Aizawl  ,23.736701,92.714596
Ajmer,26.452103,74.638667
Akola,20.709569,76.998103
Alappuzha,9.494647,76.331108
Aligarh,27.881453,78.07464
Alipurduar,26.4835,89.522855
Allahabad,25.44478,81.843217
Alwar,27.566291,76.610202
Ambala,30.360993,76.797819
Amaravati,20.933272,77.75152
Amritsar,31.622337,74.875335
Asansol,23.683333,86.983333
Aurangabad,19.880943,75.346739
Aurangabad,24.752037,84.374202
Badaun,28.0311,79.1271
Bakshpur,25.894283,80.792104
Bamanpuri,28.804495,79.040305
Baramula,34.209004,74.342853
Barddhaman,23.255716,87.856906
Bareilly,28.347023,79.421934
Belgaum,15.862643,74.508534
Bellary,15.142049,76.92398
Bengaluru,12.977063,77.587106
Bhagalpur,25.244462,86.971832
Bharatpur,27.215251,77.492786
Bharauri,27.598203,81.694709
Bhatpara,22.866431,88.401129
Bhavnagar,21.774455,72.152496
Bhilai,21.209188,81.428497
Bhilwara,25.347071,74.640812
Bhiwandi,19.300229,73.058813
Bhiwani,28.793044,76.13968
Bhopal ,23.254688,77.402892
Bhubaneshwar,20.272411,85.833853
Bhuj,23.253972,69.669281
Bhusaval,21.043649,75.785058
Bidar,17.913309,77.530105
Bijapur,16.827715,75.718988
Bikaner,28.017623,73.314955
Bilaspur,22.080046,82.155431
Brahmapur,19.311514,84.792903
Budaun,28.038114,79.126677
Bulandshahr,28.403922,77.857731
Calicut,11.248016,75.780402
Chanda,19.950758,79.295229
Chandigarh ,30.736292,76.788398
Chennai,13.084622,80.248357
Chikka Mandya,12.545602,76.895078
Chirala,15.823849,80.352187
Coimbatore,11.005547,76.966122
Cuddalore,11.746289,79.764362
Cuttack,20.522922,85.78813
Daman,20.414315,72.83236
Davangere,14.469237,75.92375
DehraDun,30.324427,78.033922
Delhi,28.651952,77.231495
Dhanbad,23.801988,86.443244
Dibrugarh,27.479888,94.90837
Dindigul,10.362853,77.975827
Dispur,26.135638,91.800688
Diu,20.715115,70.987952
Faridabad,28.411236,77.313162
Firozabad,27.150917,78.397808
Fyzabad,26.775486,82.150182
Gangtok,27.325739,88.612155
Gaya,24.796858,85.003852
Ghandinagar,23.216667,72.683333
Ghaziabad,28.665353,77.439148
Goa,15.2993,74.124
Gopalpur,26.735389,83.38064
Gulbarga,17.335827,76.83757
Guntur,16.299737,80.457293
Gurugram,28.460105,77.026352
Guwahati,26.176076,91.762932
Gwalior,26.229825,78.173369
Haldia,22.025278,88.058333
Haora,22.576882,88.318566
Hapur,28.729845,77.780681
Haripur,31.463218,75.986418
Hata,27.592698,78.013843
Hindupur,13.828065,77.491425
Hisar,29.153938,75.722944
Hospet,15.269537,76.387103
Hubli,15.349955,75.138619
Hyderabad,17.384052,78.456355
Imphal,24.808053,93.944203
Indore,22.717736,75.85859
Itanagar,27.102349,93.692047
Jabalpur,23.174495,79.935903
Jaipur,26.913312,75.787872
Jammu,32.735686,74.869112
Jamshedpur,22.802776,86.185448
Jhansi,25.458872,78.579943
Jodhpur,26.26841,73.005943
Jorhat,26.757509,94.203055
Kagaznagar,19.331589,79.466051
Kakinada,16.960361,82.238086
Kalyan,19.243703,73.135537
Karimnagar,18.436738,79.13222
Karnal,29.691971,76.984483
Karur,10.960277,78.076753
Kavaratti,10.566667,72.616667
Khammam,17.247672,80.143682
Khanapur,21.273716,76.117376
Kochi,9.947743,76.253802
Kohima,25.674673,94.110988
Kolar,13.137679,78.129989
Kolhapur,16.695633,74.231669
Kolkata ,22.562627,88.363044
Kollam,8.881131,76.584694
Kota,25.182544,75.839065
Krishnanagar,23.405761,88.490733
Krishnapuram,12.869617,79.719469
Kumbakonam,10.959789,79.377472
Kurnool,15.828865,78.036021
Latur,18.399487,76.584252
Lucknow,26.839281,80.923133
Ludhiana,30.912042,75.853789
Machilipatnam,16.187466,81.13888
Madurai,9.917347,78.119622
Mahabubnagar,16.75,78
Malegaon Camp,20.569974,74.515415
Mangalore,12.865371,74.842432
Mathura,27.503501,77.672145
Meerut,28.980018,77.706356
Mirzapur,25.144902,82.565335
Moradabad,28.838931,78.776838
Mumbai,18.987807,72.836447
Muzaffarnagar,29.470914,77.703324
Muzaffarpur,26.122593,85.390553
Mysore,12.292664,76.638543
Nagercoil,8.177313,77.43437
Nalgonda,17.05,79.27
Nanded,19.160227,77.314971
Nandyal,15.477994,78.483605
Nasik,19.999963,73.776887
Navsari,20.85,72.916667
Nellore,14.449918,79.986967
New Delhi,28.6,77.2
Nizamabad,18.673151,78.10008
Noida,28.5355,77.391
Ongole,15.503565,80.044541
Pali,25.775125,73.320611
Panaji,15.498289,73.824541
Panchkula,30.691512,76.853736
Panipat,29.387471,76.968246
Parbhani,19.268553,76.770807
Pathankot,32.274842,75.652865
Patiala,30.336245,76.392199
Patna,25.615379,85.101027
Pilibhit,28.631245,79.804362
Porbandar,21.641346,69.600868
Port Blair,11.666667,92.75
Proddatur,14.7502,78.548129
Puducherry,11.933812,79.829792
Pune,18.513271,73.849852
Puri,19.798254,85.824938
Purnea,25.776703,87.473655
Raichur,16.205459,77.35567
Raipur,21.233333,81.633333
Rajahmundry,17.005171,81.777839
Rajapalaiyam,9.451111,77.556121
Rajkot,22.291606,70.793217
Ramagundam,18.45,79.28
Rampura,26.884682,75.789336
Ranchi,23.347768,85.338564
Ratlam,23.330331,75.040315
Raurkela,22.224964,84.864143
Rohtak,28.894473,76.589166
Saharanpur,29.967896,77.545221
Saidapur,27.598784,80.75089
Saidpur,34.318174,74.457093
Salem,11.651165,78.158672
Samlaipadar,21.478072,83.990505
Sangli,16.856777,74.569196
Saugor,23.838766,78.738738
Shahbazpur,27.874116,79.879327
Shiliguri,26.710035,88.428512
Shillong ,25.573987,91.896807
Shimla,31.104423,77.166623
Shimoga,13.932424,75.572555
Sikar,27.614778,75.138671
Silchar,24.827327,92.797868
Silvassa,20.273855,72.996728
Sirsa,29.534893,75.028981
Sonipat,28.994778,77.019375
Srinagar,34.085652,74.805553
Surat,21.195944,72.830232
Tezpur,26.633333,92.8
Thanjavur,10.785233,79.139093
Tharati Etawah,26.758236,79.014875
Thiruvananthapuram,8.485498,76.949238
Tiruchchirappalli,10.815499,78.696513
Tirunelveli,8.725181,77.684519
Tirupati,13.635505,79.419888
Tiruvannamalai,12.230204,79.072954
Tonk,26.168672,75.786111
Tuticorin,8.805038,78.151884
Udaipur,24.57951,73.690508
Ujjain,23.182387,75.776433
Vadodara,22.299405,73.208119
Valparai,10.325163,76.955299
Varanasi,25.31774,83.005811
Vellore,12.905769,79.137104
Vishakhapatnam,17.704052,83.297663
Vizianagaram,18.11329,83.397743
Warangal,17.978423,79.600209
Jorapokhar,23.7,86.41267
Brajrajnagar,21.82,83.92
Talcher,20.95,85.23
